seed,function_id,best_error,evals_used
900000,11,1.193951e+01,300000
900001,11,2.387900e+01,300000
900002,11,1.591934e+01,300000
900003,11,1.392944e+01,300000
900004,11,1.636816e+01,300000
900005,11,1.890424e+01,300000
900006,11,9.949585e+00,300000
900007,11,9.949585e+00,300000
900008,11,1.392944e+01,300000
900009,11,7.959686e+00,300000
900010,11,6.964722e+00,300000
900011,11,2.387903e+01,300000
900012,11,1.790927e+01,300000
900013,11,1.293448e+01,300000
900014,11,8.954651e+00,300000
900015,11,2.586893e+01,300000
900016,11,1.193951e+01,300000
900017,11,1.094455e+01,300000
900018,11,1.492438e+01,300000
900019,11,1.691431e+01,300000
900020,11,1.591934e+01,300000
900021,11,2.188910e+01,300000
900022,11,2.188910e+01,300000
900023,11,2.288403e+01,300000
900024,11,2.288406e+01,300000
900025,11,1.492438e+01,300000
900026,11,2.288403e+01,300000
900027,11,1.392944e+01,300000
900028,11,1.094455e+01,300000
900029,11,2.089413e+01,300000
900030,11,2.188910e+01,300000
900031,11,1.293448e+01,300000
900032,11,2.089413e+01,300000
900033,11,1.591934e+01,300000
900034,11,1.293448e+01,300000
900035,11,1.989917e+01,300000
900036,11,1.492438e+01,300000
900037,11,1.392944e+01,300000
900038,11,1.890424e+01,300000
900039,11,1.790924e+01,300000
900040,11,1.790927e+01,300000
900041,11,1.094455e+01,300000
900042,11,2.288403e+01,300000
900043,11,1.392941e+01,300000
900044,11,6.964722e+00,300000
900045,11,2.089413e+01,300000
900046,11,1.193951e+01,300000
900047,11,1.193951e+01,300000
900048,11,1.193951e+01,300000
900049,11,1.989917e+01,300000
900050,11,1.691431e+01,300000
