seed,function_id,best_error,evals_used
900000,11,1.090488e+01,300000
900001,11,2.580869e+01,300000
900002,11,1.094455e+01,300000
900003,11,1.163342e+01,300000
900004,11,6.964752e+00,300000
900005,11,1.034074e+02,300000
900006,11,9.233783e+01,300000
900007,11,8.954651e+00,300000
900008,11,1.094458e+01,300000
900009,11,5.226828e+01,300000
900010,11,3.451025e+01,300000
900011,11,3.245471e+01,300000
900012,11,4.467197e+01,300000
900013,11,5.770923e+01,300000
900014,11,3.979858e+00,300000
900015,11,9.949615e+00,300000
900016,11,2.246262e+01,300000
900017,11,8.373285e+01,300000
900018,11,4.475641e+01,300000
900019,11,7.685223e+01,300000
900020,11,3.399957e+01,300000
900021,11,8.199542e+01,300000
900022,11,9.976590e+01,300000
900023,11,1.591937e+01,300000
900024,11,6.841589e+01,300000
900025,11,2.378323e+01,300000
900026,11,7.015472e+00,300000
900027,11,9.949646e+00,300000
900028,11,3.099136e+01,300000
900029,11,4.948428e+01,300000
900030,11,4.404211e+01,300000
900031,11,2.262415e+01,300000
900032,11,1.691431e+01,300000
900033,11,5.646817e+01,300000
900034,11,9.952728e+00,300000
900035,11,4.722159e+01,300000
900036,11,1.691434e+01,300000
900037,11,3.913470e+01,300000
900038,11,6.964905e+00,300000
900039,11,1.492505e+01,300000
900040,11,1.392944e+01,300000
900041,11,2.997546e+01,300000
900042,11,5.703983e+01,300000
900043,11,8.954681e+00,300000
900044,11,3.380368e+01,300000
900045,11,8.292282e+01,300000
900046,11,1.960034e+01,300000
900047,11,5.725421e+01,300000
900048,11,1.492438e+01,300000
900049,11,3.092661e+01,300000
900050,11,7.057120e+01,300000
