seed,function_id,best_error,evals_used
900000,17,5.540320e+01,300000
900001,17,4.390085e+01,300000
900002,17,6.663721e+01,300000
900003,17,6.866284e+01,300000
900004,17,5.592783e+01,300000
900005,17,1.000748e+02,300000
900006,17,9.939600e+01,300000
900007,17,3.995380e+01,300000
900008,17,7.539334e+01,300000
900009,17,5.381622e+01,300000
900010,17,5.153864e+01,300000
900011,17,7.217511e+01,300000
900012,17,6.243347e+01,300000
900013,17,5.670001e+01,300000
900014,17,7.462128e+01,300000
900015,17,5.600098e+01,300000
900016,17,5.553601e+01,300000
900017,17,1.046109e+02,300000
900018,17,6.851294e+01,300000
900019,17,9.533887e+01,300000
900020,17,6.655936e+01,300000
900021,17,8.255804e+01,300000
900022,17,1.076577e+02,300000
900023,17,6.728214e+01,300000
900024,17,6.490805e+01,300000
900025,17,6.360791e+01,300000
900026,17,6.288339e+01,300000
900027,17,6.162689e+01,300000
900028,17,5.700259e+01,300000
900029,17,7.719757e+01,300000
900030,17,5.924371e+01,300000
900031,17,6.579102e+01,300000
900032,17,4.697543e+01,300000
900033,17,6.167480e+01,300000
900034,17,6.973184e+01,300000
900035,17,5.403549e+01,300000
900036,17,6.192767e+01,300000
900037,17,8.344586e+01,300000
900038,17,5.111682e+01,300000
900039,17,5.133551e+01,300000
900040,17,8.171326e+01,300000
900041,17,6.574915e+01,300000
900042,17,6.575403e+01,300000
900043,17,5.185239e+01,300000
900044,17,6.743863e+01,300000
900045,17,9.667017e+01,300000
900046,17,6.979065e+01,300000
900047,17,7.653394e+01,300000
900048,17,7.596539e+01,300000
900049,17,7.670541e+01,300000
900050,17,7.303745e+01,300000
