seed,function_id,best_error,evals_used
900000,2,1.629385e+05,300000
900001,2,2.597162e+05,300000
900002,2,2.132873e+05,300000
900003,2,1.417260e+05,300000
900004,2,3.657568e+05,300000
900005,2,1.237412e+05,300000
900006,2,1.264714e+05,300000
900007,2,2.460963e+05,300000
900008,2,1.520061e+05,300000
900009,2,2.472532e+05,300000
900010,2,1.814173e+05,300000
900011,2,2.163385e+05,300000
900012,2,3.166151e+05,300000
900013,2,2.330928e+05,300000
900014,2,2.058020e+05,300000
900015,2,2.218954e+05,300000
900016,2,1.483144e+05,300000
900017,2,1.727406e+05,300000
900018,2,2.958372e+05,300000
900019,2,2.022541e+05,300000
900020,2,3.916742e+05,300000
900021,2,2.422833e+05,300000
900022,2,1.956031e+05,300000
900023,2,1.850131e+05,300000
900024,2,4.103548e+05,300000
900025,2,2.387851e+05,300000
900026,2,3.434169e+05,300000
900027,2,3.533177e+05,300000
900028,2,1.442764e+05,300000
900029,2,2.431691e+05,300000
900030,2,2.685482e+05,300000
900031,2,2.051695e+05,300000
900032,2,9.494346e+04,300000
900033,2,2.789423e+05,300000
900034,2,5.111466e+05,300000
900035,2,5.441444e+05,300000
900036,2,1.471054e+05,300000
900037,2,4.011392e+05,300000
900038,2,4.954495e+05,300000
900039,2,2.713300e+05,300000
900040,2,3.293319e+05,300000
900041,2,1.983344e+05,300000
900042,2,2.555471e+05,300000
900043,2,3.577031e+05,300000
900044,2,2.505325e+05,300000
900045,2,7.036844e+05,300000
900046,2,3.692327e+05,300000
900047,2,2.230086e+05,300000
900048,2,2.439354e+05,300000
900049,2,1.773999e+05,300000
900050,2,1.717739e+05,300000
