seed,function_id,best_error,evals_used
900000,24,2.165479e+02,300000
900001,24,2.265223e+02,300000
900002,24,2.157142e+02,300000
900003,24,2.291030e+02,300000
900004,24,2.084144e+02,300000
900005,24,2.237316e+02,300000
900006,24,2.231804e+02,300000
900007,24,2.208669e+02,300000
900008,24,2.136281e+02,300000
900009,24,2.202620e+02,300000
900010,24,2.125012e+02,300000
900011,24,2.100486e+02,300000
900012,24,2.190930e+02,300000
900013,24,2.137482e+02,300000
900014,24,2.080500e+02,300000
900015,24,2.283446e+02,300000
900016,24,2.249233e+02,300000
900017,24,2.164408e+02,300000
900018,24,2.335376e+02,300000
900019,24,2.163342e+02,300000
900020,24,2.416586e+02,300000
900021,24,2.145048e+02,300000
900022,24,2.094692e+02,300000
900023,24,2.201110e+02,300000
900024,24,2.169882e+02,300000
900025,24,2.213679e+02,300000
900026,24,2.300283e+02,300000
900027,24,2.243392e+02,300000
900028,24,2.239064e+02,300000
900029,24,2.331383e+02,300000
900030,24,2.385198e+02,300000
900031,24,2.257198e+02,300000
900032,24,2.330039e+02,300000
900033,24,2.206949e+02,300000
900034,24,2.353271e+02,300000
900035,24,2.233821e+02,300000
900036,24,2.086390e+02,300000
900037,24,2.292186e+02,300000
900038,24,2.137943e+02,300000
900039,24,2.179550e+02,300000
900040,24,2.230862e+02,300000
900041,24,2.169333e+02,300000
900042,24,2.074132e+02,300000
900043,24,2.337927e+02,300000
900044,24,2.195615e+02,300000
900045,24,2.117076e+02,300000
900046,24,2.205601e+02,300000
900047,24,2.306877e+02,300000
900048,24,2.131360e+02,300000
900049,24,2.331882e+02,300000
900050,24,2.147825e+02,300000
