training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,2014.54,-6.184906,0.445240,0.711720,3.914319e+06,3.372490e+06,9.8169
4000,3906.87,-6.136370,0.482117,0.979425,1.716803e+06,1.227037e+06,9.9851
6000,5793.11,-6.136682,0.396198,1.034853,1.006962e+07,4.442411e+06,9.9850
8000,7622.31,-6.209213,0.431262,1.096061,6.038430e+05,1.875986e+05,10.5556
10000,9415.98,-6.169212,0.413323,0.825350,2.144409e+06,2.019141e+06,10.6138
12000,11573.97,-6.077046,0.453574,0.426092,1.230512e+06,7.950552e+05,11.3182
14000,13184.98,-6.290514,0.444350,0.178910,6.088433e+06,7.182596e+06,11.7588
16000,14799.92,-6.298589,0.459855,0.108041,8.721715e+05,1.052181e+06,11.8059
18000,16374.71,-6.114130,0.437994,0.058650,8.438423e+05,3.575717e+05,12.1394
20000,17929.60,-5.919807,0.355576,0.025655,2.719761e+05,1.563256e+05,12.4750
22000,19512.78,-5.716937,0.302820,0.013859,2.925904e+05,1.171665e+05,12.2134
24000,21603.96,-5.670809,0.254094,0.011066,3.267819e+05,1.542192e+05,11.9162
26000,23196.59,-5.578976,0.254661,0.009562,2.616285e+05,1.689480e+05,12.1145
28000,24818.55,-5.486204,0.278454,0.008489,2.204234e+05,1.106309e+05,11.8107
30000,26458.92,-5.502594,0.232953,0.007097,2.786874e+05,1.218262e+05,11.5838
32000,28288.75,-5.448876,0.244934,0.006567,2.148584e+05,7.351328e+04,10.2410
34000,30514.59,-5.427411,0.215675,0.005574,2.028232e+05,1.219393e+05,11.0055
36000,32293.21,-5.389176,0.201526,0.005163,2.589442e+05,9.614803e+04,10.6578
38000,34052.27,-5.377404,0.231023,0.004871,2.587213e+05,8.571031e+04,11.1556
40000,35864.21,-5.302272,0.225728,0.004157,2.383218e+05,1.296023e+05,10.7258
42000,37637.84,-5.287660,0.210677,0.004013,1.899082e+05,1.003212e+05,9.8424
44000,39724.47,-5.304358,0.208297,0.003941,3.593070e+05,2.075795e+05,10.0050
46000,41332.22,-5.354638,0.225545,0.003528,2.282365e+05,1.452028e+05,10.5105
48000,42861.97,-5.334422,0.214576,0.003257,2.148539e+05,9.014814e+04,11.0497
50000,44487.69,-5.307556,0.215172,0.003298,2.066265e+05,7.726439e+04,10.3247
52000,45857.06,-5.305431,0.230301,0.003232,2.632392e+05,1.154926e+05,13.5270
54000,47258.40,-5.329048,0.238157,0.003491,1.828654e+05,8.142125e+04,12.4472
56000,49216.38,-5.318528,0.214904,0.003295,2.697119e+05,1.410983e+05,11.0110
58000,51113.60,-5.311058,0.210092,0.003465,1.884016e+05,1.271943e+05,9.3458
60000,52584.37,-5.337361,0.257279,0.003207,3.382739e+05,1.978784e+05,12.7325
62000,54282.94,-5.296995,0.210379,0.003162,2.489252e+05,1.826494e+05,10.7634
64000,56054.43,-5.309723,0.211794,0.003050,2.191520e+05,8.848565e+04,10.2667
66000,57632.79,-5.287825,0.202297,0.003085,2.417528e+05,9.551320e+04,12.2012
68000,59717.90,-5.355961,0.255363,0.002852,3.135523e+05,1.900026e+05,11.2881
70000,61612.70,-5.314400,0.257214,0.003148,2.672734e+05,1.047946e+05,9.5000
72000,63375.10,-5.327953,0.195605,0.003231,2.256023e+05,1.066182e+05,10.3299
74000,64746.81,-5.364920,0.239629,0.003003,2.612670e+05,1.593539e+05,13.9236
76000,66175.36,-5.355565,0.249711,0.003037,2.241183e+05,1.290511e+05,13.2517
78000,68391.88,-5.268064,0.205273,0.002911,1.992424e+05,6.506455e+04,10.2359
80000,70060.65,-5.309839,0.223231,0.002781,2.044040e+05,7.266194e+04,10.8587
82000,72069.79,-5.283206,0.206919,0.003104,2.565962e+05,1.334689e+05,8.9464
84000,73817.07,-5.276344,0.218377,0.003169,2.092676e+05,1.183418e+05,10.5158
86000,75493.48,-5.327848,0.232208,0.003015,2.400943e+05,1.274233e+05,11.0663
88000,77005.51,-5.414917,0.289551,0.002960,2.201226e+05,1.249588e+05,12.5409
90000,79007.49,-5.355807,0.231142,0.002782,2.453015e+05,1.095055e+05,11.8988
92000,80733.42,-5.285201,0.224936,0.002915,1.907068e+05,7.102006e+04,10.4921
94000,82378.78,-5.324024,0.239955,0.002823,1.750380e+05,7.228615e+04,11.1620
96000,83775.14,-5.358411,0.263548,0.002756,1.706831e+05,7.076635e+04,13.7260
98000,85244.84,-5.357613,0.254700,0.002772,2.633671e+05,1.385582e+05,12.9156
100000,86571.20,-5.394582,0.246084,0.002703,4.184121e+05,2.244580e+05,14.8741
102000,88343.76,-5.353641,0.225753,0.002594,2.400586e+05,9.918757e+04,14.2286
104000,89693.51,-5.304845,0.204238,0.002604,2.116887e+05,9.574087e+04,13.1842
106000,91029.75,-5.330113,0.234651,0.002654,2.555988e+05,1.195399e+05,13.4228
108000,92427.27,-5.309372,0.215916,0.002660,2.361882e+05,1.482773e+05,12.6289
110000,93916.08,-5.299310,0.219636,0.002615,2.779646e+05,1.928523e+05,11.7018
112000,95296.99,-5.323747,0.215152,0.002698,2.079326e+05,9.643070e+04,12.8645
113537,96833.23,-5.298982,0.190345,0.002489,2.526832e+05,1.265289e+05,13.3103
