training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,2581.55,0.153707,0.044867,0.003708,2.237112e+02,1.381221e+01,9.8263
4000,4867.07,0.160234,0.051184,0.009096,2.221831e+02,1.017035e+01,9.8235
6000,7135.96,0.166261,0.049195,0.006896,2.176876e+02,6.542307e+00,9.8960
8000,9298.92,0.160090,0.045442,0.002658,2.185690e+02,4.871593e+00,10.5661
10000,11410.91,0.152627,0.053555,0.001385,2.186517e+02,5.567228e+00,10.9290
12000,14299.41,0.159064,0.050574,0.000856,2.188416e+02,5.860404e+00,11.4000
14000,16547.06,0.156710,0.044356,0.000382,2.173715e+02,5.606495e+00,11.6628
16000,18813.29,0.169802,0.051834,0.000123,2.168331e+02,5.341500e+00,11.5549
18000,21007.39,0.158386,0.049049,0.000087,2.155022e+02,5.210628e+00,11.9581
20000,23133.46,0.154192,0.049661,0.000077,2.119248e+02,2.992106e+00,12.4224
22000,25207.28,0.160802,0.049508,0.000069,2.168062e+02,3.304914e+00,12.5062
24000,27973.95,0.166741,0.051871,0.000064,2.203383e+02,7.603838e+00,12.6329
26000,30037.97,0.154730,0.049534,0.000060,2.352329e+02,1.332812e+01,12.9419
28000,32067.73,0.151581,0.048411,0.000059,2.125372e+02,2.993851e+00,13.4932
30000,34077.98,0.163651,0.049139,0.000052,2.164780e+02,4.888211e+00,13.4362
32000,35884.45,0.166759,0.046559,0.000048,2.180054e+02,7.299824e+00,13.4094
34000,37648.16,0.157113,0.051649,0.000042,2.169881e+02,5.665825e+00,13.7586
36000,39986.28,0.164903,0.051460,0.000040,2.125104e+02,4.760512e+00,13.6599
38000,41655.95,0.173155,0.051132,0.000039,2.139863e+02,2.580452e+00,14.4783
40000,43390.29,0.164515,0.050043,0.000037,2.124679e+02,3.461641e+00,14.3885
42000,45367.55,0.155397,0.054603,0.000037,2.184574e+02,5.700898e+00,15.0602
44000,47392.79,0.153689,0.048481,0.000034,2.167382e+02,6.218085e+00,14.5693
46000,49272.20,0.170771,0.050412,0.000034,2.130091e+02,3.655301e+00,15.4077
48000,51114.34,0.169971,0.047409,0.000033,2.127440e+02,4.979843e+00,15.3923
50000,52760.17,0.159387,0.066728,0.000037,2.131214e+02,2.791053e+00,15.5271
52000,54900.44,0.173521,0.052800,0.000037,2.104356e+02,5.791476e+00,15.3615
54000,56482.98,0.171638,0.056268,0.000037,2.142505e+02,4.543385e+00,15.0833
56000,58109.80,0.162752,0.054626,0.000036,2.164443e+02,7.844609e+00,14.4855
58000,59810.14,0.161527,0.050429,0.000035,2.164253e+02,5.709460e+00,13.6939
60000,61453.26,0.168634,0.049354,0.000034,2.161243e+02,5.109261e+00,14.2878
62000,63103.13,0.166994,0.052633,0.000034,2.143922e+02,5.819023e+00,14.0839
64000,64684.91,0.158625,0.046074,0.000034,2.112352e+02,5.840204e+00,15.0530
66000,66886.94,0.158672,0.050265,0.000032,2.160606e+02,6.097187e+00,14.9328
68000,68512.27,0.164149,0.054084,0.000033,2.131757e+02,4.911774e+00,14.2128
70000,70251.94,0.168658,0.052570,0.000032,2.147921e+02,5.730742e+00,12.9870
72000,71958.04,0.173723,0.048378,0.000031,2.178230e+02,5.784583e+00,13.4497
74000,73567.55,0.174598,0.051849,0.000030,2.150294e+02,5.870094e+00,14.5912
