training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,8829.54,-2.446477,0.717103,0.109458,2.727168e+02,1.221161e+02,2.1442
4000,12082.77,-2.278405,0.515141,0.052627,8.051812e+02,5.386478e+02,7.8893
6000,14783.00,-2.303409,0.462403,0.030243,2.404931e+02,1.124248e+02,7.7375
8000,17526.17,-2.315925,0.451167,0.025474,1.902954e+02,8.019437e+01,8.3375
10000,20098.69,-2.283989,0.417793,0.017684,5.327194e+02,3.268402e+02,8.9640
12000,23339.85,-2.194903,0.405392,0.015486,2.568524e+02,1.105941e+02,8.8717
14000,25884.72,-2.188347,0.421388,0.013351,3.072979e+02,1.068351e+02,8.9241
16000,28569.50,-2.155818,0.442845,0.014175,3.465474e+02,1.147847e+02,8.6094
18000,31196.84,-2.157852,0.388667,0.012121,1.862965e+02,6.135231e+01,8.8363
20000,34458.22,-2.192104,0.350905,0.010832,1.418826e+02,1.265322e+01,9.3598
22000,37047.19,-2.125286,0.359313,0.010424,1.427727e+02,8.235254e+01,9.2361
24000,39450.41,-2.137614,0.345533,0.009619,2.100834e+02,8.814851e+01,10.0859
26000,41851.84,-2.181014,0.357968,0.009262,1.979115e+02,8.961432e+01,10.2667
28000,44151.86,-2.105493,0.316279,0.008804,2.324817e+02,7.889427e+01,10.5368
30000,47033.71,-2.100819,0.337220,0.008108,1.444682e+02,6.983901e+01,11.1955
32000,49188.00,-2.087205,0.346338,0.008159,2.227910e+02,6.316840e+01,11.6047
34000,51339.74,-2.074859,0.322145,0.007495,1.119620e+02,6.650222e+01,11.7471
36000,53398.78,-2.049666,0.344949,0.007703,1.458709e+02,7.071093e+01,12.7197
38000,55367.81,-2.105802,0.298346,0.007314,1.375441e+02,4.195974e+01,13.3867
40000,57232.19,-2.073876,0.322906,0.006726,1.107274e+02,4.722901e+01,14.2643
42000,59048.74,-2.039227,0.416254,0.006626,1.214238e+02,4.368791e+01,14.7556
44000,61564.74,-2.074614,0.375501,0.006817,1.203668e+02,4.224440e+01,14.7721
46000,63380.54,-2.030983,0.387571,0.006354,1.307419e+02,6.438485e+01,14.8000
48000,65214.32,-2.013335,0.418232,0.006712,1.563264e+02,6.076183e+01,14.6544
50000,67033.07,-2.019211,0.386286,0.006310,1.303334e+02,7.596668e+01,14.8889
52000,68869.23,-2.066482,0.328884,0.006018,9.607980e+01,5.124694e+01,14.7778
54000,70703.11,-2.134735,0.405747,0.005538,1.287181e+02,9.875656e+01,14.7206
56000,72534.10,-2.006650,0.436820,0.006046,1.136460e+02,5.678653e+01,14.7926
58000,75058.22,-2.004438,0.425842,0.006057,1.477006e+02,5.799039e+01,14.5217
60000,76881.84,-1.977058,0.440649,0.006200,1.435570e+02,7.936603e+01,14.6691
62000,78604.87,-2.006468,0.395522,0.005868,9.763322e+01,5.341765e+01,14.6838
64000,80319.74,-2.059415,0.332364,0.005417,1.125754e+02,4.911755e+01,14.7794
66000,81998.17,-1.974070,0.434411,0.005899,1.242509e+02,6.142263e+01,14.7630
68000,83697.63,-1.947275,0.415200,0.005566,1.383948e+02,6.197608e+01,14.7794
70000,85411.51,-2.026998,0.328489,0.005467,1.027323e+02,4.318052e+01,14.5474
72000,87772.57,-2.001545,0.383261,0.005956,1.634020e+02,7.989543e+01,14.6423
74000,89453.89,-2.014528,0.398368,0.006157,1.075851e+02,4.587751e+01,14.6029
76000,91148.14,-2.017996,0.380788,0.005801,1.219044e+02,3.969529e+01,14.6569
78000,92869.25,-2.028984,0.424297,0.006280,1.140744e+02,6.924085e+01,14.9774
80000,94663.54,-2.050734,0.441714,0.006142,1.018128e+02,4.561420e+01,14.6569
82000,96459.75,-1.977212,0.404146,0.006386,1.126937e+02,3.582460e+01,14.4317
84000,98135.74,-2.006579,0.405166,0.005659,1.205566e+02,7.063158e+01,14.3813
86000,99978.71,-1.977979,0.441121,0.005431,2.320346e+02,2.380117e+02,14.6618
88000,102293.28,-1.913654,0.422454,0.006114,1.491941e+02,8.460026e+01,14.5766
90000,104068.82,-1.977361,0.385986,0.005633,1.230793e+02,8.527493e+01,14.5766
92000,105869.47,-1.924267,0.405276,0.005680,1.649188e+02,7.292791e+01,14.5435
94000,107501.92,-1.993660,0.370680,0.005575,1.262972e+02,6.378778e+01,14.4783
96000,109094.27,-1.962559,0.437679,0.006763,1.125450e+02,4.217978e+01,14.7426
98000,110709.90,-1.981898,0.429766,0.005724,1.574769e+02,1.017900e+02,14.5912
100000,112258.51,-1.982163,0.404646,0.005736,1.207998e+02,5.276815e+01,14.6985
102000,114431.15,-1.932101,0.385379,0.006025,1.159625e+02,7.217963e+01,14.1702
104000,115978.96,-2.019286,0.413031,0.005939,1.029173e+02,4.597366e+01,14.3525
106000,117520.11,-1.938214,0.417536,0.005190,1.696455e+02,9.683597e+01,14.2929
108000,119074.34,-1.978156,0.418736,0.004805,1.199169e+02,3.924578e+01,14.2340
110000,120592.02,-1.955193,0.413233,0.005130,1.208170e+02,6.863615e+01,14.3813
112000,122136.93,-1.955135,0.388765,0.005430,1.699941e+02,5.435218e+01,14.1418
114000,123713.80,-1.986767,0.390711,0.005246,1.066933e+02,6.486143e+01,13.9236
115186,125315.32,-1.921471,0.402980,0.005600,9.809472e+01,5.771159e+01,14.3855
