training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,8265.21,-1.721622,0.322016,0.061506,2.376972e+01,5.401460e+00,3.2541
4000,13739.32,-1.443616,0.198309,0.013036,1.901199e+01,5.688532e+00,3.7383
6000,18824.86,-1.362958,0.183906,0.010683,1.709538e+01,2.940517e+00,3.9062
8000,23950.38,-1.323043,0.151575,0.008713,1.662507e+01,4.025501e+00,4.3934
10000,28593.46,-1.295095,0.151343,0.007491,1.717560e+01,5.407147e+00,4.5169
12000,34005.70,-1.282273,0.140540,0.006775,1.693985e+01,4.670017e+00,4.3197
14000,38889.80,-1.282404,0.139711,0.006462,1.742046e+01,5.685061e+00,4.2262
16000,44234.98,-1.279150,0.143262,0.006348,1.682179e+01,3.916977e+00,4.2827
18000,49130.19,-1.267629,0.148998,0.006246,1.743407e+01,5.434766e+00,4.2017
20000,54343.63,-1.261626,0.145678,0.006202,1.687141e+01,5.773257e+00,4.4000
22000,59060.47,-1.270377,0.140924,0.006210,1.566513e+01,5.058591e+00,4.3603
24000,64169.52,-1.270311,0.137391,0.006245,1.498974e+01,6.011212e+00,4.2394
26000,68397.92,-1.271761,0.133421,0.006210,1.665186e+01,4.925633e+00,4.2326
28000,73269.97,-1.263000,0.136079,0.006270,1.577935e+01,4.848933e+00,4.1712
30000,77903.29,-1.254769,0.140320,0.006303,1.630208e+01,4.551517e+00,4.0900
32000,82866.14,-1.246193,0.140301,0.006332,1.645306e+01,4.999286e+00,4.0486
34000,87154.52,-1.251638,0.138539,0.006373,1.521005e+01,4.105305e+00,4.0404
36000,91936.13,-1.246885,0.141995,0.006458,1.674763e+01,4.945358e+00,3.9702
38000,96957.28,-1.248876,0.138483,0.006501,1.655764e+01,4.981819e+00,4.0100
39745,101293.95,-1.246373,0.147853,0.006441,1.349889e+01,4.136883e+00,3.9954
