training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
160,703.52,-0.321955,0.167642,-0.081163,2.441495e+00,2.257123e-01,2.8977
240,1104.99,-0.310192,0.193423,-0.042152,2.326218e+00,2.363209e-01,3.0723
320,2084.40,-0.237605,0.287664,0.004638,2.429399e+00,2.607367e-01,2.9591
400,2479.80,-0.220671,0.280933,0.088492,2.457756e+00,2.300426e-01,3.1646
560,3752.36,-0.199206,0.270086,0.138748,2.422406e+00,2.440123e-01,2.9003
640,4165.25,-0.111573,0.333579,-0.018759,2.381361e+00,2.114207e-01,3.0663
720,4560.40,-0.014362,0.367391,-0.067994,1.459085e+00,9.185884e-01,3.0116
800,5543.28,0.003750,0.381551,-0.103527,6.755844e-01,4.661483e-01,3.0667
960,6215.05,0.112118,0.390480,-0.088384,2.881302e-01,1.036994e-01,3.0928
1040,7170.85,0.132432,0.378384,0.014518,3.615005e-01,2.100917e-01,3.1098
1120,7572.82,0.194600,0.371746,0.299903,3.651321e-01,1.083653e-01,3.0240
1200,7970.64,0.273792,0.411929,0.012834,2.699341e-01,8.597285e-02,3.1280
1360,9214.67,0.354727,0.365277,0.056367,2.617081e-01,8.140566e-02,3.0838
1440,9591.53,0.403655,0.339328,0.135547,2.463135e-01,8.605099e-02,3.3072
1520,10530.46,0.447794,0.361216,-0.052097,2.707108e-01,1.090691e-01,3.2987
1600,10921.77,0.443261,0.352349,-0.017097,2.316208e-01,5.483725e-02,3.3529
1760,11558.52,0.501806,0.338964,0.071984,2.096710e-01,8.701454e-02,3.5034
1840,12497.72,0.585410,0.334155,0.030740,2.076813e-01,9.678143e-02,3.6429
1920,12861.72,0.573368,0.338297,0.018231,1.767944e-01,6.133010e-02,3.7246
2000,13214.91,0.586317,0.343152,0.228944,1.756699e-01,7.406232e-02,3.9385
2160,14399.02,0.591665,0.325274,-0.024403,2.223206e-01,7.472821e-02,3.6810
2240,14743.28,0.602719,0.326417,-0.047626,1.842392e-01,6.597176e-02,3.8702
2320,15118.61,0.649276,0.304286,-0.138157,1.552429e-01,4.134075e-02,3.7518
2400,16040.75,0.590761,0.295714,0.183795,1.600876e-01,6.041465e-02,3.8571
2560,16618.65,0.623440,0.298994,-0.054797,1.250824e-01,3.585156e-02,3.9310
2640,16951.92,0.642536,0.304411,0.115963,1.570450e-01,6.140013e-02,4.0556
2720,17845.51,0.604653,0.302200,-0.082014,1.587204e-01,3.290800e-02,4.1885
2800,18173.29,0.705915,0.294339,-0.158161,1.542419e-01,5.514675e-02,4.2521
2960,18708.67,0.667899,0.277021,0.050147,1.510468e-01,5.933472e-02,4.4017
3040,19612.38,0.704277,0.276224,0.079016,1.358032e-01,2.914227e-02,4.1475
3120,19918.89,0.706451,0.265431,-0.107148,1.518250e-01,5.559107e-02,4.6396
3200,20214.15,0.709480,0.266661,0.079139,1.495834e-01,5.827426e-02,4.5310
3360,21289.19,0.716752,0.296225,-0.063663,1.720093e-01,3.642190e-02,4.6864
3440,21603.63,0.683363,0.242950,0.042540,1.439346e-01,3.794426e-02,4.5676
3520,21908.16,0.708146,0.264758,-0.018768,1.335938e-01,3.354993e-02,4.5766
3600,22202.51,0.722016,0.244463,0.110633,1.173386e-01,1.354726e-02,4.7736
3760,23245.28,0.704801,0.252115,-0.013672,1.508392e-01,2.825602e-02,4.8498
3840,23553.68,0.742243,0.213882,0.145143,1.401077e-01,4.046721e-02,4.7315
3920,23840.91,0.709883,0.243773,0.180976,1.486160e-01,3.816112e-02,4.7130
4000,24154.60,0.740018,0.258713,0.184011,1.244904e-01,4.212707e-02,4.7156
4160,25232.88,0.750565,0.233520,0.052339,1.180298e-01,3.115805e-02,4.7804
4240,25533.24,0.717215,0.285177,0.174618,1.329239e-01,4.914340e-02,4.9231
4320,25828.82,0.725069,0.230810,0.038781,1.427643e-01,2.447009e-02,4.8857
4400,26128.19,0.774073,0.246591,0.139298,1.435028e-01,5.385965e-02,5.0800
4560,27155.34,0.744045,0.232059,-0.145540,1.720764e-01,5.216415e-02,5.0882
4640,27453.49,0.769518,0.241308,0.113319,1.418930e-01,2.901386e-02,5.1020
4720,27759.51,0.766965,0.227198,0.102276,1.430161e-01,4.683506e-02,4.9709
4800,28046.41,0.705064,0.278565,0.047855,1.305176e-01,2.475361e-02,5.0096
4960,29092.43,0.746684,0.229240,-0.047796,1.319916e-01,3.983246e-02,5.1582
5040,29371.02,0.789395,0.221615,0.188455,1.643341e-01,6.544431e-02,5.2347
5120,29647.56,0.771474,0.249952,0.207788,1.766647e-01,6.332481e-02,5.5319
5200,29937.57,0.786083,0.227255,-0.125410,1.409973e-01,5.720967e-02,5.0600
5360,30959.12,0.816819,0.214361,0.013569,1.406296e-01,5.698367e-02,5.2857
5440,31236.97,0.822344,0.220828,-0.005574,1.085022e-01,2.836756e-02,5.3404
5520,31507.55,0.811585,0.235434,-0.022915,1.331146e-01,2.744882e-02,5.6667
5600,31785.64,0.752093,0.264958,-0.019213,1.166489e-01,2.653349e-02,5.6593
5760,32799.38,0.790023,0.235381,0.001654,1.096558e-01,4.717304e-02,5.5568
5840,33076.02,0.783839,0.215606,0.071444,1.163712e-01,6.457697e-02,5.4624
5920,33349.17,0.741559,0.223116,-0.093040,1.395203e-01,4.670147e-02,5.7500
6000,33632.44,0.729603,0.245064,0.102525,1.379028e-01,1.900848e-02,5.3830
6160,34636.60,0.825253,0.215385,-0.004522,1.291306e-01,5.440087e-02,5.5238
6240,34905.19,0.762817,0.193323,-0.159797,1.049255e-01,2.607824e-02,5.6067
6320,35180.91,0.784393,0.231652,-0.122783,1.469955e-01,2.799521e-02,5.7000
