training_step,episode,mean_return,mean_loss,mean_episode_length
80,167,-6.792097,0.771091,3.0299
160,326,-6.900736,0.169662,3.1761
240,490,-6.718702,0.187356,3.1585
320,653,-6.812218,0.015013,3.1227
400,817,-6.738451,0.214902,3.1220
480,985,-6.717401,0.165319,3.0595
560,1155,-6.689400,0.141604,2.9824
640,1323,-6.591752,0.019818,3.0357
720,1486,-6.616186,-0.072789,3.1718
800,1647,-6.534848,0.155392,3.1863
880,1808,-6.314889,0.317222,3.1677
960,1975,-6.396754,-0.081160,3.0539
1040,2139,-6.233952,0.015557,3.1159
1120,2301,-6.093201,0.010263,3.2037
1200,2467,-6.111786,0.130038,3.0663
1280,2630,-5.949864,0.002817,3.1595
1360,2796,-5.866977,0.097668,3.0361
1440,2958,-5.721385,0.057296,3.1667
1520,3129,-5.690693,-0.003730,3.0351
1600,3296,-5.614942,-0.017649,3.0599
1680,3457,-5.646037,-0.078979,3.1491
1760,3625,-5.424253,-0.168827,3.0536
1840,3788,-5.364186,-0.122448,3.1902
1920,3948,-5.358494,0.156323,3.1437
2000,4120,-5.153977,0.090683,3.0000
2080,4282,-5.233963,-0.085921,3.1667
2160,4446,-5.137205,0.073072,3.0976
2240,4615,-5.052320,-0.016087,3.0473
2320,4779,-4.996143,0.071933,3.1341
2400,4938,-4.978364,-0.064054,3.1887
2480,5101,-4.830808,-0.048343,3.1656
2560,5258,-4.871391,0.179023,3.2675
2640,5419,-4.807043,-0.015476,3.1863
2720,5582,-4.773833,0.055003,3.1472
2800,5746,-4.820896,-0.184752,3.1098
2880,5896,-4.732081,0.044012,3.3600
2960,6048,-4.630015,0.235647,3.3684
3040,6203,-4.475551,-0.025265,3.3613
3120,6356,-4.558994,-0.018636,3.3203
3200,6509,-4.491577,0.229300,3.3595
3280,6657,-4.277711,0.538428,3.4324
3360,6805,-4.494812,0.068168,3.4527
3440,6949,-4.480162,0.212501,3.5694
3520,7099,-4.224848,0.362481,3.4533
3600,7238,-4.063268,0.462178,3.6619
3680,7388,-3.989925,0.367853,3.4067
3760,7536,-4.011558,0.281459,3.4865
3840,7674,-3.601395,0.883700,3.6449
3920,7824,-3.607974,0.576889,3.4467
4000,7961,-3.671627,0.455581,3.7226
4080,8098,-3.532058,0.604849,3.6861
4160,8240,-3.099131,1.396239,3.6549
4240,8382,-3.511365,2.704651,3.5775
4320,8512,-2.791471,1.811114,3.9154
4400,8653,-2.975383,1.136633,3.6525
4480,8791,-3.108782,2.088583,3.7391
4560,8926,-1.876340,3.872735,3.7333
4640,9062,-1.535531,3.646971,3.8382
4720,9202,-2.703523,1.683976,3.6429
4800,9335,-1.445311,2.251314,3.8271
4880,9475,-1.688826,2.196213,3.6929
4960,9609,-1.491728,1.430383,3.8507
5040,9744,-1.359172,4.670063,3.7111
5120,9887,-0.972932,3.218565,3.6434
5200,10025,-0.778318,2.263309,3.7174
