training_step,episode,mean_return,mean_loss,mean_episode_length
80,210,-3.797599,0.345940,2.3952
160,418,-3.792802,0.108542,2.4712
240,634,-3.781166,0.015373,2.3935
320,846,-3.764719,0.091805,2.4057
400,1063,-3.764878,0.044379,2.3502
480,1278,-3.752056,-0.130224,2.3860
560,1491,-3.750092,-0.068786,2.3897
640,1716,-3.743830,-0.035857,2.3022
720,1933,-3.725429,-0.127398,2.3456
800,2155,-3.718309,-0.145174,2.2973
880,2375,-3.699837,0.070913,2.3364
960,2597,-3.671402,-0.005640,2.3243
1040,2807,-3.670731,0.155655,2.4000
1120,3025,-3.670596,-0.053039,2.3761
1200,3232,-3.621456,-0.118128,2.4589
1280,3447,-3.634942,0.006582,2.3907
1360,3657,-3.595150,-0.010634,2.4190
1440,3864,-3.585805,-0.054081,2.4783
1520,4071,-3.565433,0.109350,2.4734
1600,4274,-3.563143,-0.021271,2.5172
1680,4459,-3.542066,-0.180573,2.7568
1760,4641,-3.530914,-0.107502,2.8352
1840,4826,-3.526506,-0.117499,2.7676
1920,5006,-3.505906,-0.085384,2.8000
2000,5181,-3.504784,-0.156494,2.9543
2080,5346,-3.483895,-0.085113,3.0848
2160,5503,-3.472265,-0.042923,3.2994
2240,5660,-3.456658,-0.150284,3.2484
2320,5811,-3.476972,-0.138555,3.3841
2400,5955,-3.472248,-0.164834,3.5833
2480,6103,-3.465819,-0.123970,3.4257
2560,6247,-3.429315,-0.081109,3.5764
2640,6386,-3.460597,0.137324,3.6619
2720,6526,-3.468323,-0.136299,3.6643
2800,6654,-3.439440,-0.011696,3.9297
2880,6789,-3.423463,0.042807,3.7852
2960,6925,-3.432216,-0.155665,3.8456
3040,7053,-3.436572,-0.163562,3.9844
3120,7182,-3.411619,-0.045574,3.9147
3200,7312,-3.408674,0.077742,3.9846
3280,7434,-3.387282,-0.244591,4.1557
3360,7554,-3.386843,0.067841,4.2667
3440,7667,-3.384597,-0.164915,4.4690
3520,7781,-3.343045,-0.106202,4.5614
3600,7892,-3.363560,-0.075529,4.6847
3680,8001,-3.396563,-0.145023,4.5688
3760,8105,-3.345892,-0.054847,5.0192
3840,8207,-3.347476,-0.125703,4.9706
3920,8312,-3.370715,-0.040553,4.8381
4000,8413,-3.339510,-0.045926,5.0792
4080,8513,-3.348020,0.086168,5.1400
4160,8614,-3.334171,-0.197876,5.1683
4240,8709,-3.324717,-0.146094,5.2842
4320,8802,-3.370787,0.035261,5.4409
4400,8894,-3.325748,0.018474,5.5543
4480,8984,-3.332675,-0.017181,5.6556
4560,9072,-3.338472,0.085244,5.9545
4640,9160,-3.313044,-0.022600,5.7500
4720,9253,-3.324566,0.086363,5.5484
4800,9345,-3.304042,-0.190986,5.5326
4880,9434,-3.330314,-0.204420,5.8427
4960,9521,-3.299390,0.065006,5.7816
5040,9612,-3.355224,0.090965,5.6923
5120,9692,-3.324997,-0.036108,6.2375
5200,9777,-3.318843,-0.085284,6.1765
5280,9860,-3.317010,-0.053624,6.1205
5360,9945,-3.300268,-0.213451,5.9882
5440,10031,-3.291612,-0.253796,5.9186
5520,10111,-3.307658,-0.038516,6.4875
5600,10194,-3.322939,0.003439,6.0000
5680,10276,-3.291476,-0.370933,6.4390
5760,10355,-3.267947,-0.004190,6.4810
5840,10433,-3.295274,-0.084532,6.5000
5920,10510,-3.244463,0.115041,6.5974
6000,10587,-3.284554,0.044443,6.7143
6080,10665,-3.278915,-0.163804,6.5256
6160,10745,-3.275419,-0.046606,6.4875
6240,10823,-3.281852,-0.079199,6.5385
6320,10898,-3.237750,0.003086,6.6400
6400,10975,-3.282308,0.050612,6.6234
6480,11051,-3.229632,0.116287,6.7368
6560,11126,-3.243664,-0.151541,6.9467
6640,11196,-3.231214,-0.101659,7.2429
6720,11272,-3.259912,-0.015634,6.9211
6800,11346,-3.216390,0.186085,6.9865
6880,11412,-3.265954,0.033540,7.2879
6960,11489,-3.257150,0.071753,6.8961
7040,11557,-3.217781,0.105814,7.3676
7120,11631,-3.211110,0.099333,7.0541
7200,11706,-3.246100,-0.095179,6.9333
7280,11775,-3.237015,0.101531,7.2899
7360,11844,-3.238308,-0.115102,7.2464
7440,11916,-3.229620,-0.057964,7.2639
7520,11986,-3.242234,-0.189911,7.5143
7600,12052,-3.214120,-0.128170,7.2879
7680,12121,-3.233535,-0.059749,7.6667
7760,12186,-3.214549,-0.062442,7.7538
7840,12255,-3.231736,0.139722,7.5507
7920,12318,-3.192912,0.155430,7.9365
8000,12385,-3.209592,-0.116716,7.9254
8080,12446,-3.211893,-0.004199,8.2623
8160,12506,-3.233518,0.030135,8.3667
8240,12570,-3.195142,0.199548,7.9844
8320,12632,-3.173143,0.251247,8.2419
8400,12694,-3.175327,-0.012386,8.5484
8480,12754,-3.187958,0.006357,8.3167
8560,12818,-3.177723,-0.129424,8.0781
8640,12879,-3.177209,-0.103017,8.1803
8720,12943,-3.189769,-0.124796,8.1875
8800,13000,-3.169171,0.053221,8.7368
8880,13060,-3.169146,0.002071,8.6500
8960,13122,-3.172564,-0.029525,8.1774
9040,13182,-3.198525,0.128727,8.7000
9120,13243,-3.184125,0.006468,8.4098
9200,13307,-3.159317,0.113314,8.1406
9280,13364,-3.169268,0.102200,8.7193
9360,13426,-3.155856,-0.128264,8.3871
9440,13486,-3.194768,0.013744,8.6000
9520,13545,-3.146937,0.042074,8.4576
9600,13605,-3.155250,-0.008384,8.7000
9680,13662,-3.162860,0.085406,8.8070
9760,13720,-3.176007,-0.122580,8.9138
9840,13777,-3.140784,-0.130355,9.0000
9920,13834,-3.203405,-0.075379,8.7544
10000,13893,-3.142673,0.028712,9.0000
10080,13951,-3.183850,0.072051,8.6552
10160,14011,-3.174359,0.054600,8.6667
10240,14065,-3.137419,0.129738,9.2963
10320,14122,-3.152571,0.033828,9.0702
10400,14180,-3.214845,-0.123171,8.9483
10480,14234,-3.151046,0.026345,9.3148
10560,14288,-3.166147,-0.161546,9.5185
10640,14341,-3.170787,-0.088090,9.3396
10720,14402,-3.114711,-0.042628,8.9016
10800,14454,-3.127715,-0.004587,9.3077
10880,14510,-3.130932,0.006569,9.4643
10960,14565,-3.139869,-0.243229,9.1273
11040,14619,-3.153811,0.194966,9.6296
11120,14674,-3.169058,-0.075003,9.3273
11200,14726,-3.086587,-0.149293,9.7308
11280,14780,-3.169719,-0.104695,9.6111
11360,14835,-3.170427,0.047704,9.4000
11440,14890,-3.145593,0.094528,9.2727
11520,14945,-3.130374,0.100339,9.2545
11600,15000,-3.120872,-0.114864,9.0727
