training_step,elapsed_seconds,mean_return,std_return,mean_loss,mean_eval_fitness,std_eval_fitness,mean_episode_length
2000,12052.16,-6.890722,2.144021,3.246298,1.414133e+05,3.297004e+05,2.0698
4000,20563.02,-6.027906,1.668819,3.093763,5.183571e+06,7.738924e+06,2.0887
6000,28375.73,-6.032028,1.643924,2.632743,1.573703e+06,2.967621e+06,2.2346
8000,35465.44,-6.095447,1.537164,2.420786,4.828685e+06,1.143981e+07,2.3490
10000,41459.78,-6.160905,1.286190,2.179618,9.315856e+05,1.315241e+06,2.6525
12000,46556.54,-5.974855,1.532920,1.946284,3.427433e+06,6.377389e+06,3.4229
14000,50435.42,-5.449056,1.641522,1.731068,1.872456e+05,4.522620e+05,4.1366
16000,53749.46,-4.948139,1.797963,1.516832,1.321599e+04,3.167190e+04,5.4228
18000,56255.10,-4.450572,2.014528,1.351341,3.698835e+04,1.100017e+05,6.4071
20000,58617.70,-3.794401,2.127047,1.260336,3.357743e+03,9.582962e+03,6.8328
22000,61361.77,-3.350125,2.087043,1.212768,2.752847e+03,8.209151e+03,6.9617
24000,63789.49,-2.923389,2.257566,1.179294,2.045346e+04,6.113663e+04,6.6325
26000,66317.33,-2.557736,2.583462,1.175137,2.496982e+04,7.485779e+04,6.2767
28000,69609.90,-1.974110,2.884111,1.263471,2.618800e+04,5.598157e+04,5.5402
30000,72747.56,-2.010497,3.207616,1.407827,2.406860e+00,4.932035e+00,5.0992
32000,76616.81,-1.662269,3.258512,1.549358,5.007256e+03,1.501874e+04,4.5954
34000,80126.60,-1.388627,3.412000,1.674350,1.017280e+04,2.992657e+04,4.5204
36000,84053.86,-1.051426,3.257757,1.836756,1.431176e+04,4.030798e+04,4.2574
38000,88842.12,-1.029417,3.580206,1.971704,1.023594e+01,3.007907e+01,4.2326
40000,93026.40,-0.637676,3.551487,2.084070,4.377441e-02,1.264237e-01,4.1476
42000,97561.10,-0.774096,3.445226,2.215081,1.679151e+03,5.007887e+03,4.2257
44000,101729.18,-0.311103,3.641478,2.331628,4.704956e+04,1.374743e+05,3.9545
46000,106166.16,-0.459795,3.570375,2.434501,4.210352e+02,1.253832e+03,4.0796
48000,110158.93,-0.225892,3.629131,2.473014,4.579078e+03,1.373723e+04,4.1862
50000,114607.20,0.151565,3.346240,2.545456,6.359852e+04,1.804294e+05,4.0404
52000,118681.75,-0.071566,3.512199,2.596386,1.164533e+05,3.493597e+05,4.1343
54000,123107.29,-0.059784,3.402624,2.622423,9.243259e+01,2.759953e+02,4.0527
56000,127349.00,0.242353,3.444973,2.700530,8.215640e+04,2.464676e+05,3.8629
56634,129059.02,0.277573,3.855534,2.715748,6.388131e+04,1.916431e+05,4.1634
