training_step,episode,mean_return,mean_loss,mean_episode_length
80,134,-1.435410,0.100934,3.7090
160,275,-1.381319,-0.019038,3.6596
240,416,-1.368458,0.069229,3.6383
320,563,-1.363038,0.120230,3.4762
400,702,-1.372732,0.103483,3.6978
480,844,-1.348478,-0.147177,3.5704
560,993,-1.370444,0.062405,3.4497
640,1132,-1.373961,-0.028733,3.7266
720,1271,-1.293649,-0.088813,3.6187
800,1416,-1.263968,-0.081799,3.5586
880,1564,-1.212712,0.045044,3.4595
960,1706,-1.253291,0.060962,3.5634
1040,1855,-1.238709,-0.047788,3.5034
1120,1997,-1.206300,-0.007420,3.5915
1200,2141,-1.175942,-0.016918,3.5486
1280,2288,-1.167374,0.028040,3.4694
1360,2437,-1.150177,-0.188274,3.4698
1440,2581,-1.080678,0.174086,3.5417
1520,2735,-1.128437,-0.228576,3.2857
1600,2888,-1.019938,-0.012997,3.3268
1680,3039,-1.083908,0.031942,3.4901
1760,3184,-0.891998,0.066520,3.4828
1840,3336,-0.926571,-0.051533,3.4013
1920,3486,-0.760748,0.125309,3.4133
2000,3636,-0.889895,0.066030,3.3600
2080,3791,-0.681870,0.171949,3.3290
2160,3944,-0.659116,0.310577,3.3007
2240,4109,-0.373472,0.019365,3.1697
2320,4267,-0.378166,0.411175,3.2089
2400,4433,-0.060180,0.400514,3.0783
2480,4598,0.046486,0.909065,3.1333
2560,4763,0.182212,0.694467,3.0970
2640,4926,0.169231,0.368889,3.0920
2720,5090,0.347107,0.615904,3.1463
2800,5260,0.459383,0.825581,3.0294
2880,5428,0.947342,0.943507,3.0417
2960,5596,0.906858,1.375389,3.0536
3040,5762,0.936896,0.681257,3.0783
3120,5935,0.878530,0.843783,2.9595
3200,6105,1.198053,1.787130,3.0059
3280,6283,1.168309,1.395258,2.8876
3360,6452,1.446822,1.239050,3.0414
3440,6624,1.799686,1.321009,2.9535
3520,6792,1.547533,1.116444,3.0357
3600,6971,1.932409,2.013994,2.8603
3680,7138,1.914165,1.142817,3.0659
3760,7315,1.891624,1.289304,2.9435
3840,7488,2.109916,2.083588,2.9480
3920,7652,2.128812,1.507038,3.1098
4000,7823,2.586644,2.096691,2.9942
4080,7996,2.072450,1.337819,2.9653
4160,8164,2.042524,1.908658,3.0298
4240,8339,2.529808,2.533722,2.9543
4320,8508,2.749940,2.361591,2.9941
4400,8676,2.405967,1.979610,3.0476
4480,8846,2.888292,2.472621,3.0118
4560,9019,2.197153,1.379494,2.9653
4640,9192,2.381451,2.877897,2.9422
4720,9366,3.225910,1.634030,2.9770
4800,9534,2.845471,2.687864,3.0298
4880,9706,2.998174,1.684738,2.9593
4960,9879,3.561408,2.167938,3.0058
5040,10052,3.230300,2.257288,2.9364
5120,10228,3.124629,2.607361,2.9375
5200,10396,3.771892,1.788516,3.0238
5280,10564,2.965175,2.259101,3.0119
5360,10740,3.550998,1.981528,2.9659
5440,10911,3.007113,1.770130,2.9825
5520,11083,3.130786,2.379721,2.9535
5600,11257,3.159820,2.594913,2.9540
5680,11427,3.379878,1.926485,3.0000
5760,11606,3.458243,1.835684,2.8603
5840,11780,3.760884,2.585247,2.9655
5920,11952,3.681389,2.022596,2.9767
6000,12119,4.070150,2.074200,3.0419
6080,12295,3.752485,2.278720,2.9148
6160,12469,3.677667,1.757009,2.9425
6240,12640,4.084090,1.812885,2.9766
6320,12817,3.607126,2.050665,2.9266
6400,12989,3.723659,3.053186,2.9419
6480,13164,3.872185,2.144987,2.9543
6560,13336,4.053487,2.368644,2.9419
6640,13506,4.046442,2.892735,3.0176
6720,13676,3.803941,2.504076,3.0059
6800,13843,3.964054,1.988159,3.0479
6880,14014,4.514001,2.182363,3.0175
6960,14189,3.976689,1.719658,2.9143
7040,14365,4.047577,2.609283,2.9545
7120,14532,3.822054,1.869097,3.0120
7200,14703,3.886671,1.673458,2.9883
7280,14880,3.844132,2.848197,2.9209
7360,15053,3.964477,2.496605,2.9653
