training_step,episode,mean_return,mean_loss,mean_episode_length
80,207,-3.795951,0.406263,2.4300
160,417,-3.774666,-0.005960,2.4524
240,617,-3.784631,0.034112,2.5600
320,823,-3.786069,-0.060461,2.4757
400,1028,-3.780828,0.169611,2.5073
480,1238,-3.755912,-0.208301,2.4333
560,1441,-3.757859,0.110132,2.5271
640,1636,-3.742616,-0.085497,2.6000
720,1839,-3.727173,0.022790,2.5419
800,2043,-3.722414,-0.144082,2.4902
880,2253,-3.721361,-0.246542,2.4762
960,2456,-3.724079,-0.243463,2.4975
1040,2662,-3.680219,-0.093105,2.4951
1120,2859,-3.677228,0.069258,2.5939
1200,3063,-3.686752,-0.032845,2.5245
1280,3249,-3.648887,-0.120510,2.7151
1360,3444,-3.632383,-0.038063,2.6308
1440,3642,-3.602692,-0.134087,2.6010
1520,3839,-3.609893,-0.226298,2.6091
1600,4033,-3.586081,-0.168498,2.6237
1680,4227,-3.572276,0.203086,2.6495
1760,4406,-3.566323,-0.291587,2.8547
1840,4589,-3.544634,-0.010566,2.7978
1920,4779,-3.538107,-0.093992,2.7053
2000,4950,-3.534874,-0.124617,2.9883
2080,5125,-3.512939,-0.141412,2.9086
2160,5290,-3.504645,-0.070863,3.0909
2240,5458,-3.496971,0.141477,3.0833
2320,5623,-3.484814,0.051022,3.0606
2400,5789,-3.476647,-0.092344,3.1145
2480,5947,-3.470799,0.017020,3.1962
2560,6096,-3.452353,-0.122359,3.4966
2640,6245,-3.451635,-0.132375,3.3490
2720,6394,-3.445256,-0.130232,3.4899
2800,6535,-3.413957,-0.248564,3.6312
2880,6676,-3.434172,-0.092540,3.6454
2960,6817,-3.416888,0.229620,3.6241
3040,6952,-3.406107,-0.059461,3.7852
3120,7082,-3.397889,0.026806,3.9385
3200,7217,-3.388320,0.028111,3.8222
3280,7344,-3.378795,-0.151244,3.9606
3360,7465,-3.376731,-0.003580,4.2479
3440,7595,-3.380610,-0.120293,3.9385
3520,7719,-3.375644,0.007670,4.1613
3600,7834,-3.344680,-0.120331,4.3478
3680,7958,-3.356660,-0.243446,4.2097
3760,8074,-3.358473,0.075612,4.2931
3840,8193,-3.359173,-0.106955,4.3361
3920,8315,-3.361599,0.149126,4.2459
4000,8430,-3.350741,-0.003703,4.4261
4080,8539,-3.327895,-0.008353,4.6972
4160,8652,-3.338464,-0.005325,4.5929
4240,8760,-3.328934,0.033976,4.7685
4320,8861,-3.350308,0.214724,5.0198
4400,8963,-3.302987,-0.121240,4.9510
4480,9059,-3.348781,-0.107719,5.2917
4560,9157,-3.315670,0.013993,5.3776
4640,9248,-3.296842,-0.072462,5.5165
4720,9347,-3.308387,-0.249935,5.2525
4800,9445,-3.289964,-0.076819,5.1429
4880,9540,-3.296720,0.059383,5.3895
4960,9630,-3.311814,0.048432,5.7000
5040,9722,-3.302631,0.147478,5.5000
5120,9810,-3.275259,-0.240140,5.9205
5200,9897,-3.283001,-0.031011,5.7816
5280,9981,-3.263186,-0.042950,6.1905
5360,10068,-3.270645,0.154681,5.9080
5440,10145,-3.262992,-0.144835,6.5325
5520,10224,-3.240879,-0.071548,6.4937
5600,10301,-3.266995,0.073634,6.6753
5680,10378,-3.244312,-0.041408,6.6234
5760,10452,-3.241799,0.058869,7.0946
5840,10525,-3.262522,0.009577,6.6986
5920,10600,-3.263434,-0.057048,6.9067
6000,10674,-3.239383,-0.019679,6.9324
6080,10743,-3.226191,0.015148,7.4058
6160,10819,-3.268416,-0.067705,6.8816
6240,10888,-3.219002,-0.006001,7.1159
6320,10960,-3.228733,-0.111314,7.2083
6400,11035,-3.220016,-0.079680,7.0000
6480,11106,-3.251094,-0.038284,7.1127
6560,11173,-3.210044,-0.107450,7.6119
6640,11238,-3.221601,0.038988,7.7231
6720,11306,-3.207286,0.192460,7.7353
6800,11370,-3.204101,0.044974,7.9375
6880,11437,-3.233788,0.025207,7.6119
6960,11503,-3.256403,-0.114940,7.6970
7040,11569,-3.202222,0.019124,7.8030
7120,11632,-3.220785,0.150204,8.1905
