training_step,episode,mean_return,mean_loss,mean_episode_length
80,137,-0.355455,-0.078146,3.5912
160,282,-0.357119,-0.124362,3.6000
240,431,-0.351168,0.186579,3.4161
320,584,-0.338827,0.160413,3.3464
400,732,-0.325151,-0.070439,3.4662
480,879,-0.322027,0.217912,3.5034
560,1026,-0.341991,-0.351201,3.4490
640,1171,-0.322412,-0.020555,3.5448
720,1314,-0.305018,-0.053080,3.5874
800,1456,-0.271568,0.051284,3.5845
880,1603,-0.240045,0.028216,3.4830
960,1742,-0.236691,-0.099946,3.7194
1040,1884,-0.230142,0.035099,3.5563
1120,2025,-0.240893,-0.080254,3.6596
1200,2164,-0.166998,0.066277,3.6475
1280,2307,-0.169410,-0.111931,3.6503
1360,2441,-0.144116,0.033198,3.8060
1440,2577,-0.114574,-0.038537,3.7574
1520,2713,-0.086198,-0.076767,3.7941
1600,2838,-0.095851,-0.197425,4.0320
1680,2967,-0.050394,-0.151018,3.9845
1760,3096,-0.055646,-0.092386,3.9612
1840,3218,-0.013710,0.074487,4.2049
1920,3336,0.039448,-0.164321,4.2797
2000,3458,0.014697,-0.337737,4.2131
2080,3577,0.042207,0.146902,4.3445
2160,3695,0.071640,-0.116723,4.3390
2240,3811,0.087417,0.185255,4.3879
2320,3926,0.152013,-0.044500,4.4348
2400,4037,0.138174,0.091107,4.5946
2480,4148,0.189125,-0.114637,4.6306
2560,4253,0.277001,0.164283,4.8952
2640,4359,0.264521,-0.102482,4.8019
2720,4461,0.361843,-0.095077,4.9902
2800,4570,0.314078,-0.024466,4.7523
2880,4675,0.339919,0.091008,4.9048
2960,4775,0.344979,-0.118674,5.1100
3040,4874,0.354833,-0.084300,5.0707
3120,4975,0.403209,-0.010680,5.2277
3200,5071,0.357666,0.049895,5.2708
3280,5166,0.420744,0.127985,5.3368
3360,5256,0.466482,0.055994,5.7000
3440,5349,0.434687,-0.000830,5.3871
3520,5442,0.459799,-0.076859,5.5484
3600,5537,0.463642,0.052816,5.4526
3680,5629,0.454516,-0.041966,5.5761
3760,5720,0.480166,0.013253,5.5824
3840,5808,0.509146,0.071542,5.7841
3920,5899,0.562918,0.004524,5.7253
4000,5988,0.543796,-0.153288,5.6404
4080,6075,0.539381,-0.014337,5.9080
4160,6163,0.562680,0.022373,5.8523
4240,6252,0.568065,-0.118782,5.8539
4320,6338,0.581666,-0.077200,5.8256
4400,6422,0.596104,-0.237476,6.0238
4480,6514,0.617747,-0.105407,5.7065
4560,6601,0.617183,-0.005180,5.8621
4640,6686,0.611798,-0.141694,5.9412
4720,6772,0.621366,-0.302861,6.0000
4800,6857,0.614402,-0.097602,5.9059
4880,6941,0.644964,0.080533,6.2976
4960,7020,0.631189,-0.183830,6.4430
5040,7101,0.682901,-0.129366,6.3580
5120,7182,0.713890,-0.110804,6.1605
5200,7265,0.662598,-0.007666,6.1807
5280,7348,0.636593,0.097426,6.1566
5360,7432,0.686666,0.114567,6.2976
